Device,ID,Slope,Offset,Ambients,Type,Board
pt,0,1,0,0,float,0
pt,1,1,0,0,float,0
pt,2,1,0,0,float,0
pt,3,1,0,0,float,0
pt,4,1,0,0,float,0
pt,5,1,0,0,float,0
pt,6,1,0,0,float,0
pt,7,2.416992188,310.3030303,0,float,0
pt,8,0.311523438,310.3030303,0,float,0
pt,9,0.64453125,310.3030303,0,float,0
pt,10,0.64453125,310.3030303,0,float,0
pt,11,0.060424805,310.3030303,0,float,0
pt,12,1,0,0,float,0
pt,13,1.607299805,466.6210982,0,float,0
pt,14,0.13394165,466.6210982,0,float,0
pt,15,0.428613,466.6211,0,float,0
pt,16,0.023011744,0,0,float,0
pt,17,0.023167346,0,0,float,0
pt,18,0.311523438,310.3030303,0,float,0
pt,19,1,0,0,float,0
pt,20,0.64453125,310.3030303,0,float,0
pt,21,1,0,0,float,0
lc,0,-2.8402,2048,0,float,0
lc,1,-2.8402,2048,0,float,0
lc,2,-2.8402,2048,0,float,0
lc,3,-2.8402,2048,0,float,0
lc,4,-2.8402,2048,0,float,0
pt,0,0.309317453,404.1155743,0,float,3
pt,1,0.309317453,404.1155743,0,float,3
pt,2,0.309317453,404.1155743,0,float,3
pt,3,0.309317453,404.1155743,0,float,3
pt,4,2.319880894,404.1155743,0,float,3
pt,5,0.309317453,404.1155743,0,float,3
